QUE OPINAS DE LAS NUEVAS 2080TI QUE VA SACAR NVIDIA??	Hay algún link de video a esa demos?
Qué tan balanceado estaría una PC con athlon 200ge y una RX 570???	tiene sentido los ryzen 1xxx ahora?
Ryzen 2600X o Core I5 9400?? Solo para juego y no importa el dinero.	El phenom ii x4 955 sigue siendo decente en juegos en 2019?
2080ti oc o Rog matrix 2080 ti??	Iker hacia donde crees que irán los procesadores para ser más potentes ya que estamos en el limite de nm del silicio?
El phenom ii x4 955 sigue siendo decente en juegos en 2019?	​que placa base es mejor la aorus z390 extreme o la Asus z390 extreme para gaming si no te decides cual elijirias tu gracias
Buenas tardes, ¿Qué esperas de Navi a raiz de los rumores que van a dejar la arquitectura GCN y qué tendría que tener para ser competitiva frente a la serie 20 de Nvidia?	es buena opcion comprar un ryzen 5 2400g?, para mas adelante comprar una grafica dedicada, que memorias recomiendas para ese ryzen 5?
Que opinas del Enhanced Sync de AMD? Supuestamente un Vsync con mucho menos input lag.	El phenom ii x4 955 sigue siendo decente en juegos en 2019?
tiene sentido los ryzen 1xxx ahora?	SUPER DUDA: me han vendido un ordenador con una ryzen 2600, 8gb de ram de 2400mhz, una 1060 de 3gb, 1 ssd de 240, hdd de 1tb. Tu crees que me han estafado??
¿Se puede usar "precisión boost" con una placa X370 y ryzen 7 2700X?	​iker para cuanto tiempo tengo jugando a graficos en altos-ultra con un ryzen 2700x y una rtx 2070?
​Crees que la GTX 1070 TI aguantaria hasta la próxima generación de tarjetas?	que opinas de actualizar una 1060 al dia de hoy? obviamente, mi presupuesto da para la 1660 ti. aiento que no, pero me gustaría tu opinión
Que opinas sobre los rumores de 2 nuevas consolas Xbox, que usarían un CPU con arquitectura Zen 2, una con 4 teraflops, y otra con 12 teraflops? Saludos	¿Crees que para alguien que vive del CAD pero que también juega debería escoger siempre a AMD en gráficas?
hola :D crees que el i7 4790 aún rinde para juegos actuales?	El phenom ii x4 955 sigue siendo decente en juegos en 2019?
el mejor tipo de refrigeración que se puede comerciar? cual es::?	nvidia 1660 vs 1060?
ASRock B450M Steel Legend?	​los nuevo procesadores de amd superarán por algunos meses a intel ?????
Que opinas del Enhanced Sync de AMD? Supuestamente un Vsync con mucho menos input lag.	​Crees que la GTX 1070 TI aguantaria hasta la próxima generación de tarjetas?
​Que les aconsejas a los que se acaban de comprar la gtx 1060 de 6gb?	Iker hacia donde crees que irán los procesadores para ser más potentes ya que estamos en el limite de nm del silicio?
​fx 8350 con 1080?	una ryzen 3 2200g aguanta una rx 580 ????
Tío he pillao en Amazon un i7 8700 K a 280 pavos que salió durante 1 minuto de pura SUERTE, he triunfado? Busco ahora un placa ITX Consejo?	hola :D crees que el i7 4790 aún rinde para juegos actuales?
tengo un i7 2600x por hay guardado y me dijeron que es un procesador muy interesando bale la pena desempolvarlo me servirá de algo al día de hoy?	Mr Iker que opinas de las placas Huanan socket 1366 (marca china)?
rx 480 o rx 570? q compro	​Crees que la GTX 1070 TI aguantaria hasta la próxima generación de tarjetas?
Tío he pillao en Amazon un i7 8700 K a 280 pavos que salió durante 1 minuto de pura SUERTE, he triunfado? Busco ahora un placa ITX Consejo?	¿que tal cinebench r20?
Vale la pena un Ryzen Serie 2000 actualmente? Sabiendo que viene la 3000	​Crees que la GTX 1070 TI aguantaria hasta la próxima generación de tarjetas?
